time_s,rov_pos_n,rov_pos_e,rov_pos_d,rov_vel_n,rov_vel_e,rov_vel_d,asv_pos_n,asv_pos_e,asv_pos_d,asv_vel_n,asv_vel_e,asv_vel_d
0.0,37.6227235712387,12.163076880817485,12.775478213671516,0.0,0.0,0.0,32.68099033070329,2.34461512953742,-2.4899397552633533,0.0,0.0,0.0
0.010363182694305624,37.77679826854041,12.782261693187948,12.574389268119383,1.5967852564603677e-05,6.417050928753488e-05,-5.7889534543434873e-05,32.13912147450517,1.6131657059557394,-1.3988991131452102,8.142121042461673e-05,0.0004918968316583548,-1.542521738976623e-05
1.0,37.28357347729528,11.709188307917731,11.371549494786256,-3.514492268329392e-05,-4.703486475829457e-05,-0.0004040482288967919,32.3490935692812,1.833979581911256,-1.0437202936405474,0.04713826685428563,0.013265333864762252,-0.003527610613779655
2.0,37.373572801214365,11.757490015299831,11.527186287989705,-2.5815936384121544e-05,-4.2025175027163876e-05,-0.0003591528685572042,33.831395870352104,2.6531778749984736,-0.8657018631039413,1.327311441283486,0.7178087428237966,0.006051762272731864
3.0,37.428768515407086,11.69207403906385,11.489844500565367,-2.009471059824065e-05,-4.879824222872237e-05,-0.00036979028321666897,34.5950131279423,4.608355502842459,-0.8962075819068199,1.362468761314832,1.7841565101815235,0.024219372496679478
4.0,37.45785254432356,11.52987341617094,11.304965726473464,-1.7079690685305167e-05,-6.559623918973493e-05,-0.0004228458380412202,35.90828693362609,8.447489017011229,-1.116543419813531,1.650871985905561,3.2973668114684926,0.047501337976831384
5.0,37.291299639475795,11.678328917008596,11.390550882981598,-3.433005785999084e-05,-5.021190098292734e-05,-0.00039812134811056477,39.26221606391218,10.748409319895378,-0.8878984130939634,2.7132399289108733,3.4605803201379386,0.09850651311176098
6.0,37.59335761757288,11.925814979547866,11.40992390388118,-3.0415138332733275e-06,-2.457387772990475e-05,-0.0003924394242032445,39.67532940334565,12.414502370955608,-0.8618620729420631,2.26733713911244,3.3002712210423946,0.06976075142237512
7.0,37.64962897826347,12.150281561184599,11.352399099648348,2.786379552696519e-06,-1.3251097433273593e-06,-0.00040885367487717637,41.671620835967516,14.158426639500258,-1.0299813659240573,2.4674562078495077,3.186764661713793,0.038553294167947484
8.0,37.75886485667992,12.570952269410556,11.528778351619904,1.4097612884618081e-05,4.2236044084302926e-05,-0.00035807666213924424,43.386663491275144,14.167289512582519,-0.4556604561937678,2.517118777132491,2.5633352394708284,0.07052529180092293
9.0,37.86023179332325,12.676171554246798,11.572578523561834,2.4591748756234317e-05,5.3126141008648435e-05,-0.00034539718849555315,45.223331949478116,15.99233204679048,-0.2048566129374373,2.5633638531012957,2.5539338904647475,0.08584295861951112
10.0,38.08365259298857,12.739504566586628,11.58133189083684,4.771993609815378e-05,5.967750137699754e-05,-0.00034278534515817593,46.03275202044292,18.09575441640092,-0.17031982766988207,2.3006838322241414,2.588872333537511,0.07327638571563395
10.010433799485865,37.33020810856313,13.448037293168811,11.616848991991192,-0.06894064922330823,0.06469782072891712,0.0027146894629348182,46.244718169455844,17.949046234131576,-0.1411384123961213,2.3570404123284012,2.5400739558155627,0.07622112749335785
11.0,36.07189755762947,12.710827358671548,12.426473810304657,-0.17659650450802244,-0.0072088303170616055,0.07365164402814847,48.11938197077857,20.166021762130473,-0.2561598712406063,2.371998235369318,2.577855729891499,0.051746244662684154
12.0,34.46598070245258,11.457560017245832,12.519516516294699,-0.305816016279337,-0.1188158242375198,0.07420021674673005,48.313327324756095,20.85475731378165,-0.21055717817080188,1.882357957173884,2.1615023839253236,0.03677947709776649
13.0,33.82186488371724,10.76446900151057,12.56241326234928,-0.33425433602546256,-0.16663228407657166,0.07147506858910516,49.45427392506931,21.771738052647045,-0.23125644197470288,1.6772718514060425,1.828501087528806,0.02550549138159976
14.0,33.08213312497076,10.267509170202588,12.335297827486881,-0.36592232821762183,-0.1918549118890826,0.048822488763313035,49.65805703957401,22.39041912868246,-0.6130349936022772,1.2014392703089982,1.446052682770485,-0.023774976687332985
15.0,32.62619659570266,9.7940603161902,12.282786770234466,-0.3727778473001788,-0.21167291248510833,0.04132224456938638,50.15068653193978,21.457936198554464,-0.8129960462453638,0.8504054676710585,0.6675238572462874,-0.04423018523356964
16.0,32.2571546447694,9.593485201370603,12.823173688134702,-0.37232570013373073,-0.21054720855591108,0.07620053259655182,50.22200283382159,21.701974670397213,-0.1460284145785099,0.42211729961085287,0.3628895619541038,0.04079534982247934
17.0,31.71824338704283,9.440069039272046,12.635763947923582,-0.3839990670825331,-0.20704342240602674,0.05841015388466955,51.77302192135207,21.268505273399533,-0.5070668459715238,0.48049487414774633,-0.0810954991893292,0.004749732385665423
18.0,31.16362068267795,9.346513321149558,12.62614251716911,-0.39512883646984825,-0.20006827343877645,0.05396811152131863,52.86853289485484,20.379273413489354,-0.6133502645087535,0.3979618272159518,-0.5477598579469776,0.00047628012709267746
19.0,30.6254876232883,8.521212502104163,12.45236133552398,-0.4032249952295009,-0.237939616596492,0.039632456523140104,53.952553160622486,21.91071652672929,-1.0366106657629295,0.34655047804860994,-0.22999397184135617,-0.04668233789050371
20.0,29.962253576879416,8.64106830165896,12.713293717672245,-0.4185090483229512,-0.21771629392784972,0.05325749191561533,54.857997458441254,20.278516490858472,-0.5855617389870924,0.2332693580735861,-0.780413967016261,0.012749120991757942
