time_s,rov_pos_n,rov_pos_e,rov_pos_d,rov_vel_n,rov_vel_e,rov_vel_d,asv_pos_n,asv_pos_e,asv_pos_d,asv_vel_n,asv_vel_e,asv_vel_d
0.0,38.07938018643303,12.49363190313748,12.314576558065573,0.0,0.0,0.0,33.33280272003182,2.447763051228062,0.2677002972528455,0.0,0.0,0.0
0.010363182694305624,37.62733990114499,12.389594561176633,12.64377517955963,-4.684813765758257e-05,-1.0782126895183918e-05,3.411718565440005e-05,32.810307438282834,2.1751675751725683,0.43784261589251544,-6.223586623955279e-05,8.423933215024847e-05,4.449256443785824e-05
1.0,37.616584315609934,12.234248846439712,12.46847897222937,-4.795789648504066e-05,-2.6878947214795063e-05,1.5948361929272445e-05,32.90159725315451,2.16366566019531,0.4214988208428339,0.02852441741153252,-0.021029899094146234,-0.0003407662907466746
2.0,37.57865567369577,12.312368377521016,12.585006642060657,-5.1882930827459466e-05,-1.8781750686987956e-05,2.802080781880109e-05,32.35995971762254,3.3749511090770627,0.5477826151592519,-0.4655914416491614,1.0399612167093915,0.002504050188012282
3.0,37.54005338434156,12.194908973469854,12.304404479591348,-5.587694509635417e-05,-3.094918456736449e-05,-1.053878035029471e-06,32.40604655801597,6.631399761288813,0.23320396117757625,-0.28013625806065723,2.8882290724444175,0.01971200207767148
4.0,37.19181644022272,12.392479599299412,12.124034607830144,-9.194650225902035e-05,-1.047879723913524e-05,-1.9739050780942123e-05,35.78756477090868,7.904144370676949,-0.022906658078583608,1.612186219282635,2.692714044854252,-0.010507866378408878
5.0,37.304338146934406,12.466210635270777,12.214937834986307,-8.028158352460036e-05,-2.840391481231521e-06,-1.0320929783832422e-05,36.551106817666394,10.207130965081284,0.11200859031482316,1.5253323475225338,3.0152353424792864,0.014382620137654095
6.0,37.167211873455365,12.478842360503275,12.3478960813991,-9.447581964171579e-05,-1.53179423424552e-06,3.4509960850426097e-06,39.367424598764615,13.370364257211703,0.38967565320731057,2.2308644284367136,3.5265616541121743,0.056956060849231646
7.0,37.28246524658014,12.564562317464748,12.342396926813652,-8.253015803326704e-05,7.345700288774582e-06,2.8811348796239446e-06,40.8376772978649,16.474315659785294,0.41414746508724604,2.25456047909527,3.83774786677603,0.061582790881730576
8.0,37.43463903331035,12.87978866823004,12.319607090202945,-6.676381200684274e-05,3.9987051462391066e-05,5.209183565796196e-07,42.02645628985089,18.07846708495713,0.2793924893203643,2.167965354849824,3.5891230836591568,0.02646811921994629
