time_s,rov_pos_n,rov_pos_e,rov_pos_d,rov_vel_n,rov_vel_e,rov_vel_d,asv_pos_n,asv_pos_e,asv_pos_d,asv_vel_n,asv_vel_e,asv_vel_d
0.0,202.20296758480814,99.01822565861731,6.62709956522984,0.0,0.0,0.0,2.1569169638723995,-0.8982848430898385,1.355391016194605,0.0,0.0,0.0
0.14913921907577607,202.12799613656307,99.1741818086819,6.531445898831834,-0.00011187031495711894,0.00023271344005778183,-0.00014273174704814126,1.0591046855508146,-0.5116187380729084,0.877874813891206,-0.0012505757999997555,-0.0005188725029233489,9.206422834080082e-05
1.0,201.57529131449186,98.8635528441194,6.530926293066195,-0.0009354134856084636,-0.00023050582502536803,-0.0001433251183631028,1.3192735272719702,-0.62687351754285,0.9410820221158488,0.0553838634227672,-0.0786481317243875,0.0006107994954883122
2.0,201.58473133252534,98.86064443759135,6.4773254318859905,-0.0009199741948489953,-0.0002344907086915671,-0.00022287327412937068,1.7130931526795736,-1.0700809027095026,0.6703459308948887,0.3783759403542571,-0.4403920561777247,-0.004819443629740749
3.0,201.55182717244216,98.82142800955248,6.526407468078714,-0.000967497944755176,-0.0002924120779278579,-0.00014961350147590317,2.2354119787260154,0.11785041660228024,0.9313124560293141,0.599437426514555,0.5430541546192621,-0.0012941238546452989
4.0,201.3583597004789,98.7651277971274,6.495535535073968,-0.001253099953690571,-0.000375507882884812,-0.00019519457863729692,5.594290059520112,0.19246552688931962,0.7840278653390151,2.238294110377943,0.4157975476418558,0.009281271653437609
5.0,201.4104066971524,98.81125092463537,6.510638548939986,-0.0011741385760470318,-0.00030662252354479356,-0.00017253106223245063,7.870032354817683,-0.2692088734479471,0.9050348243358322,2.690653449448267,0.10483208957953077,0.03113383476746178
6.0,201.6469868455526,98.91651295540761,6.540121849539426,-0.0008224387382782489,-0.00015045929002375006,-0.00012866244763452538,8.68022249195438,-0.7528256449731845,1.1323000148505755,2.415479421693986,-0.09952026264151179,0.0426582474522743
7.0,201.75717402184225,98.95680443848862,6.509060901093674,-0.0006584694735032303,-9.07236035700253e-05,-0.00017435168087464787,10.251885994639723,-0.8729845749504722,0.7947740198325359,2.46462916980168,-0.11944288529394688,0.007650331237455767
8.0,201.9070076857382,98.97858036076444,6.499683832366271,-0.00043650951224003453,-5.847261633366722e-05,-0.00018792471405191507,11.157640298072177,-0.04129666762429929,0.586840384304917,2.287644109148783,0.15302852875162679,-0.020370267529493488
